Isolate	species(ANI)	subspecies(ANI)	Bt(genes)	anthrax_toxin(genes)	emetic_toxin_cereulide(genes)	diarrheal_toxin_Nhe(genes)	diarrheal_toxin_Hbl(genes)	diarrheal_toxin_CytK(top_hit)	sphingomyelinase_Sph(gene)	capsule_Cap(genes)	capsule_Has(genes)	capsule_Bps(genes)	PubMLST_ST[clonal_complex](perfect_matches)	Adjusted_panC_Group(predicted_species)	final_taxon_names
PS00039	cereus s.s.(97.1237)	No subspecies	0()	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	2/9(bpsE;bpsH)	24[No clonal complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s.
PS00040	cereus s.s.(97.09)	No subspecies	0()	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	2/9(bpsE;bpsH)	24[No clonal complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s.
PS00084	cereus s.s.(97.9786)	No subspecies	6(Cry1Ma1;Cry8Aa1;Cry8Fa1;Cry8Ka1;Vip1Ad1;Vip2Ad1)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	2/9(bpsE;bpsH)	33[No clonal complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s. biovar Thuringiensis; B. Thuringiensis
PS00086	cereus s.s.(97.0152)	No subspecies	0()	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	2/9(bpsE;bpsH)	1968[No clonal complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s.
PS00087	cereus s.s.(98.4283)	No subspecies	2(Cry34Ac1;Cry35Ac1)	0/3()	0/4()	3/3(nheA;nheB;nheC)	0/4()	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	1/9(bpsE)	138[ST-18 complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s. biovar Thuringiensis; B. Thuringiensis
PS00090	cereus s.s.(97.1301)	No subspecies	0()	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	1/9(bpsE)	4[ST-142 complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s.
PS00095	mycoides(93.6224)	No subspecies	5(Cry19Ba1;Cry19Ca1;Cry27Aa1;Cry56Aa4;Cry70Bb1)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	0/1()	1/1(sph)	0/5()	0/3()	1/9(bpsE)	325[ST-196 complex](7/7)	Group_VI(mycoides/paramycoides)	B. mycoides biovar Thuringiensis; B. Thuringiensis
PS00100	cereus s.s.(95.9574)	No subspecies	0()	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	1/9(bpsE)	230[ST-23 complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s.
PS00112	mycoides(93.5569)	No subspecies	3(Cry22Ba1;Cry32Qa1;Cry32Ya1)	0/3()	0/4()	3/3(nheA;nheB;nheC)	2/4(hblC;hblD)	0/1()	1/1(sph)	0/5()	0/3()	2/9(bpsE;bpsH)	1142[ST-196 complex](7/7)	Group_VI(mycoides/paramycoides)	B. mycoides biovar Thuringiensis; B. Thuringiensis
PS00113	mosaicus(94.7509)	No subspecies	2(Cry21Aa2;Cry21Ga1)	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	1/9(bpsE)	1085[No clonal complex](7/7)	Group_II(mosaicus/luti)	B. mosaicus biovar Thuringiensis; B. Thuringiensis
PS00114	cereus s.s.(97.144)	No subspecies	0()	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	1/9(bpsE)	1099[ST-142 complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s.
PS00121	cereus s.s.(97.1516)	No subspecies	0()	0/3()	0/4()	3/3(nheA;nheB;nheC)	4/4(hblA;hblB;hblC;hblD)	1/1(cytK-2)	1/1(sph)	0/5()	0/3()	1/9(bpsE)	1099[ST-142 complex](7/7)	Group_IV(cereus_sensu_stricto)	B. cereus s.s.
