Isolate	inputfile	Type	seq_id	model	evalue	bitscore	model_description
PS00084	PS00084_short	Short	MIFAIBIE_06699	CryM6	2.90E-33	102.1	Cry toxin (IDOPS Model 6)
PS00084	PS00084_short	Short	MIFAIBIE_07018	CryM6	3.50E-33	101.9	Cry toxin (IDOPS Model 6)
PS00086	PS00086_hybrid	Hybrid	AEMHHGJE_02588	CryM5	3.70E-64	208.3	Cry toxin (IDOPS Model 5)
PS00086	PS00086_hybrid	Hybrid	AEMHHGJE_02589	CryM6	2.10E-36	111.9	Cry toxin (IDOPS Model 6)
PS00086	PS00086_short	Short	KHJCFJBO_01224	CryM5	3.70E-64	208.3	Cry toxin (IDOPS Model 5)
PS00086	PS00086_short	Short	KHJCFJBO_01223	CryM6	2.10E-36	111.9	Cry toxin (IDOPS Model 6)
PS00095	PS00095_hybrid	Hybrid	MHMLBDOC_00083	CryM1	2.70E-151	496.7	Cry toxin (IDOPS Model 1)
PS00095	PS00095_hybrid	Hybrid	MHMLBDOC_00161	CryM1	1.90E-203	669.1	Cry toxin (IDOPS Model 1)
PS00095	PS00095_hybrid	Hybrid	MHMLBDOC_00200	CryM1	1.50E-155	510.7	Cry toxin (IDOPS Model 1)
PS00095	PS00095_hybrid	Hybrid	MHMLBDOC_02861	CryM1	1.60E-177	583.3	Cry toxin (IDOPS Model 1)
PS00095	PS00095_hybrid	Hybrid	MHMLBDOC_02872	CryM1	5.80E-200	657.5	Cry toxin (IDOPS Model 1)
PS00095	PS00095_hybrid	Hybrid	MHMLBDOC_02999	CryM1	1.40E-170	560.4	Cry toxin (IDOPS Model 1)
PS00095	PS00095_hybrid	Hybrid	MHMLBDOC_03051	CryM1	3.20E-148	486.5	Cry toxin (IDOPS Model 1)
PS00095	PS00095_hybrid	Hybrid	MHMLBDOC_03091	CryM1	7.30E-177	581.2	Cry toxin (IDOPS Model 1)
PS00095	PS00095_hybrid	Hybrid	MHMLBDOC_00056	CryM4	3.20E-253	833.1	Cry toxin (IDOPS Model 4)
PS00095	PS00095_hybrid	Hybrid	MHMLBDOC_00199	CryM6	4.80E-49	151.3	Cry toxin (IDOPS Model 6)
PS00095	PS00095_hybrid	Hybrid	MHMLBDOC_02873	CryM6	7.00E-49	150.8	Cry toxin (IDOPS Model 6)
PS00095	PS00095_short	Short	FNOIJHJL_05038	CryM1	1.60E-177	583.3	Cry toxin (IDOPS Model 1)
PS00095	PS00095_short	Short	FNOIJHJL_05255	CryM1	7.30E-177	581.2	Cry toxin (IDOPS Model 1)
PS00095	PS00095_short	Short	FNOIJHJL_05366	CryM1	1.40E-170	560.4	Cry toxin (IDOPS Model 1)
PS00095	PS00095_short	Short	FNOIJHJL_05413	CryM1	2.50E-123	404.3	Cry toxin (IDOPS Model 1)
PS00095	PS00095_short	Short	FNOIJHJL_05554	CryM1	1.50E-155	510.7	Cry toxin (IDOPS Model 1)
PS00095	PS00095_short	Short	FNOIJHJL_05604	CryM1	5.80E-200	657.5	Cry toxin (IDOPS Model 1)
PS00095	PS00095_short	Short	FNOIJHJL_05634	CryM1	1.90E-203	669.1	Cry toxin (IDOPS Model 1)
PS00095	PS00095_short	Short	FNOIJHJL_05197	CryM4	3.20E-253	833.1	Cry toxin (IDOPS Model 4)
